course_day,lesson_id,unit_number,unit_title,day_in_unit,phase,focus,standards,origin,sealed_course_day
163,ma-g8-mathematics-u09-l15,9,Volume and Bivariate Data,15,Assessment preparation,association and outliers,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,159
164,ma-g8-mathematics-u09-l16,9,Volume and Bivariate Data,16,Unit assessment,lines of fit,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,160
165,ma-g8-mathematics-u09-l17,9,Volume and Bivariate Data,17,Targeted correction,two-way tables,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,161
166,ma-g8-mathematics-u09-l18,9,Volume and Bivariate Data,18,"Publication, presentation, or reflection",correlation versus causation,8.G.9 8.SP.1 8.SP.2 8.SP.3 8.SP.4,sealed-1.0.0,162
167,ma-g8-mathematics-u10-l01,10,Integrated Algebraic Modeling Capstone,1,Launch and diagnostic,defining variables and assumptions,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,163
168,ma-g8-mathematics-u10-l02,10,Integrated Algebraic Modeling Capstone,2,Concept model A,selecting linear or nonlinear models,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,164
169,ma-g8-mathematics-u10-l03,10,Integrated Algebraic Modeling Capstone,3,Guided practice A,systems and constraints,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,165
170,ma-g8-mathematics-u10-l04,10,Integrated Algebraic Modeling Capstone,4,Independent application A,geometry and measurement,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,166
171,ma-g8-mathematics-u10-l05,10,Integrated Algebraic Modeling Capstone,5,Concept model B,data trends and uncertainty,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,167
172,ma-g8-mathematics-u10-l06,10,Integrated Algebraic Modeling Capstone,6,Guided practice B,mathematical communication,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,168
173,ma-g8-mathematics-u10-l07,10,Integrated Algebraic Modeling Capstone,7,Investigation or close reading,defining variables and assumptions,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,169
174,ma-g8-mathematics-u10-l08,10,Integrated Algebraic Modeling Capstone,8,Reteach and varied practice,selecting linear or nonlinear models,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,170
175,ma-g8-mathematics-u10-l09,10,Integrated Algebraic Modeling Capstone,9,Concept model C,systems and constraints,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,171
176,ma-g8-mathematics-u10-l11,10,Integrated Algebraic Modeling Capstone,11,Performance task planning,data trends and uncertainty,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,173
177,ma-g8-mathematics-u10-l12,10,Integrated Algebraic Modeling Capstone,12,Performance task build,mathematical communication,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,174
178,ma-g8-mathematics-u10-l15,10,Integrated Algebraic Modeling Capstone,15,Assessment preparation,systems and constraints,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,177
179,ma-g8-mathematics-u10-l16,10,Integrated Algebraic Modeling Capstone,16,Unit assessment,geometry and measurement,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,178
180,ma-g8-mathematics-u10-l18,10,Integrated Algebraic Modeling Capstone,18,"Publication, presentation, or reflection",mathematical communication,8.EE.7 8.EE.8 8.F.4 8.G.7 8.SP.3 MP.4,sealed-1.0.0,180
