case_number,lesson_id,grade,work_mode,scoring_stance,generator_family,before_classification,before_boundary_violation,before_learner_visible_repair,correction_model,after_classification,after_boundary_violation,after_learner_support,learner_passing_change_present_after,semantic_exact_repair_visible_after,adult_trusted_solution_complete,generated_learner_package,adult_scoring_guide,after_package_sha256,after_scoring_guide_sha256
35,ma-g3-tech-cs-u03-l06,3,CORRECT,PROGRESS_EVIDENCE,STALE_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,true,"Each assignment uses current + delta; the tests return 4, 5, and 5.",post-submission review,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Preserve the original run and repair attempt in the defect log. Compare the earliest divergent state with the specification before proposing a revised repair.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-03/ma-g3-tech-cs-u03-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-03/ma-g3-tech-cs-u03-l06.scoring-guide.json,606f0b01f7c60a513f32216ea9f86af42021b1bfbf1f379b50b26504a21a2069,1c6341c723a72c8942f94b6fc974e2f21292dfc69c11f4af3ded4393f9ac4a55
36,ma-g3-tech-cs-u04-l01,3,PROBE,FORMATIVE_NO_PENALTY,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Before editing, record the unchanged output and identify which stated rule is first contradicted. Do not look for or request a finished repair.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-03/ma-g3-tech-cs-u04-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-03/ma-g3-tech-cs-u04-l01.scoring-guide.json,947520553b8598cc159fbb02112120764d942c79cae816d89addf15eb5468ed4,586880e5733d3150936f8363ad7b9a89681680fa007444c8d08e70cc89baecd6
37,ma-g3-tech-cs-u04-l02,3,MODEL,FORMATIVE_NO_PENALTY,GENERIC_SEQUENCE_INDEX,LEGITIMATE_WORKED_EXAMPLE,false,Iteration begins at index 0; all three tests retain every step in order.,worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,Iteration begins at index 0; all three tests retain every step in order.,true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-03/ma-g3-tech-cs-u04-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-03/ma-g3-tech-cs-u04-l02.scoring-guide.json,ec65e20e49a7a4ee5e481bcfa2317564b47cf687cb78bbc962f45faef666705f,6866e43f1e1239d15805c8788fcd8e46c0807260504be07a52cdd235a2f5046e
38,ma-g3-tech-cs-u05-l01,3,PROBE,FORMATIVE_NO_PENALTY,OBJECT_STATE_UPDATE,FULL_SOLUTION_BEFORE_ATTEMPT,true,"The update combines this.value with amount; the three tests return 5, 0, and 3.",trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Before editing, record the unchanged output and identify which stated rule is first contradicted. Do not look for or request a finished repair.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-03/ma-g3-tech-cs-u05-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-03/ma-g3-tech-cs-u05-l01.scoring-guide.json,1e2ff7e9988f0b65a3bd07e1cdf15988f77b7d6450cc77eea6a4ec13b18d7feb,106fd067cd3eecc2927d08e0a112254ba0f9e7db8a35bd6ad9542402a6fc3fce
39,ma-g3-tech-cs-u05-l02,3,MODEL,FORMATIVE_NO_PENALTY,ALGORITHM_INITIALIZATION,LEGITIMATE_WORKED_EXAMPLE,false,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,"Initializing best from values[0] makes the invariant true before iteration; the tests return 7, -2, and 6.",true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-03/ma-g3-tech-cs-u05-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-03/ma-g3-tech-cs-u05-l02.scoring-guide.json,bc429d3bed53ce32397d23ed3bf8b4c3e3d15b72234b94307aad5662ea1963af,afd460584ac2c21e0a7df655dafe658584f1f69f9419ce92830ac5df7db16d52
40,ma-g4-tech-cs-u02-l02,4,MODEL,FORMATIVE_NO_PENALTY,STALE_STATE_UPDATE,LEGITIMATE_WORKED_EXAMPLE,false,"Each assignment uses current + delta; the tests return 4, 5, and 5.",worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,"Each assignment uses current + delta; the tests return 4, 5, and 5.",true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u02-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-04/ma-g4-tech-cs-u02-l02.scoring-guide.json,9676c049a6abd014c9ba952b9788f392f3101ff8c04dc07cbab6d93047afb0b5,3c33da8577ca9ebdd691d45cbc201c160b2cf3337cac716aaaa7d4021fec505c
41,ma-g4-tech-cs-u04-l01,4,PROBE,FORMATIVE_NO_PENALTY,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Before editing, record the unchanged output and identify which stated rule is first contradicted. Do not look for or request a finished repair.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-04/ma-g4-tech-cs-u04-l01.scoring-guide.json,f27e57945d28eef3a38b5f58868884b62d23c5439cfaa1792df965d99aad4ee8,5db00f19d69d2ed849c8154cd13fda15bea72966983e3740a4364dd85f4c72eb
42,ma-g4-tech-cs-u04-l02,4,MODEL,FORMATIVE_NO_PENALTY,GENERIC_SEQUENCE_INDEX,LEGITIMATE_WORKED_EXAMPLE,false,Iteration begins at index 0; all three tests retain every step in order.,worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,Iteration begins at index 0; all three tests retain every step in order.,true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-04/ma-g4-tech-cs-u04-l02.scoring-guide.json,429b61c50d7b89de84c85499674cb7d3190752e0d0cd2db875d28d7224201a96,49a6b30af9c8c196097e8b7922c14392eb616a9ad8daa5fe0f235131656a56f9
43,ma-g4-tech-cs-u04-l03,4,GUIDED,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-04/ma-g4-tech-cs-u04-l03.scoring-guide.json,dff7bcc7e92ed9d1b057179c864c47af59f7b50a128f66b7abbc2faa4300ac0c,2ee7848712ae13834da52a37826ec1204e18e789cea7c298c07bae96fdbdd42b
44,ma-g4-tech-cs-u04-l04,4,BUILD,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder plus trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Use the three tests to isolate one defect region, then choose and justify the smallest edit that satisfies the specification without weakening a boundary test.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l04.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-04/ma-g4-tech-cs-u04-l04.scoring-guide.json,457a449546451de8714108b9fb21004e4bfc83a66c8015ec19cd4528c060a672,cc21425faf1115817a5a43169a65e40992ba8f32cc283f9d72f964b187caa5fe
45,ma-g4-tech-cs-u04-l05,4,DEMONSTRATE,SUMMATIVE,GENERIC_SEQUENCE_INDEX,SUMMATIVE_SOLUTION_EXPOSURE,true,Iteration begins at index 0; all three tests retain every step in order.,"trusted solution reference, then post-submission review",SUMMATIVE_SOLUTION_WITHHELD_BEFORE_EVIDENCE,false,"Run and record the unchanged program, then diagnose and repair it independently from the specification and tests. No solution or worked repair is included in learner material.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-04/ma-g4-tech-cs-u04-l05.scoring-guide.json,620197f868ca41388b0cd9e8626a99e962352d85f3727671fcc60e18f0525976,881492217d1f0b449eca12240e42828d113ad3f7ecca9b9a17311c71a9c5cea1
46,ma-g4-tech-cs-u04-l06,4,CORRECT,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,post-submission review,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Preserve the original run and repair attempt in the defect log. Compare the earliest divergent state with the specification before proposing a revised repair.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-04/ma-g4-tech-cs-u04-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-04/ma-g4-tech-cs-u04-l06.scoring-guide.json,dc706f07cbeb7686fe026f4f1f9b145f37cba97e31db03d8be232854d3f07312,b78d9ac615fa4935cac85f6c379ba2a3e691cfc922b3aa387e0fb55052715f93
47,ma-g5-technology-u04-l01,5,PROBE,FORMATIVE_NO_PENALTY,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Before editing, record the unchanged output and identify which stated rule is first contradicted. Do not look for or request a finished repair.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u04-l01.scoring-guide.json,3a70a4fb72e54a7f86909fe35b850806a4c6bc7fcd71db135a8ffcc4afbae5e5,f082af0b213b0c2093d7b5dee355a841e753877c04ff685473251b10ac757279
48,ma-g5-technology-u04-l02,5,MODEL,FORMATIVE_NO_PENALTY,GENERIC_SEQUENCE_INDEX,LEGITIMATE_WORKED_EXAMPLE,false,Iteration begins at index 0; all three tests retain every step in order.,worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,Iteration begins at index 0; all three tests retain every step in order.,true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u04-l02.scoring-guide.json,60e11e8a298b0f5b3f44b4d14107738ce13f78a0e8d0e220f536282ed104a661,f182b82b82991c48ca725b455566c8038c8fabe5f7a2355afb3146f6e55c4a49
49,ma-g5-technology-u04-l03,5,GUIDED,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u04-l03.scoring-guide.json,1c781784ab9de473e85f2516e970172f481898187101a51e468a1e3766b4a612,7539d0ab47932535a59475c12101d4fdd8dd238800bc99a40d8ab35591276d0e
50,ma-g5-technology-u04-l04,5,BUILD,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder plus trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Use the three tests to isolate one defect region, then choose and justify the smallest edit that satisfies the specification without weakening a boundary test.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l04.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u04-l04.scoring-guide.json,766d0ac730c630aeb13acd9a34c7cba8e1296846b913cf6704b1979919cd28cc,ec437fdcd2cd645782228c9386a4538a57801fa7353849843aaadc8041c7202a
51,ma-g5-technology-u04-l05,5,DEMONSTRATE,SUMMATIVE,GENERIC_SEQUENCE_INDEX,SUMMATIVE_SOLUTION_EXPOSURE,true,Iteration begins at index 0; all three tests retain every step in order.,"trusted solution reference, then post-submission review",SUMMATIVE_SOLUTION_WITHHELD_BEFORE_EVIDENCE,false,"Run and record the unchanged program, then diagnose and repair it independently from the specification and tests. No solution or worked repair is included in learner material.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u04-l05.scoring-guide.json,681a52c46f2134fac58a147b4cce7ad34ff927b3a6d83c73f53c5fb3c06bdbe5,0386a063246c7fa5d79eda9d558b52afea4931027152f0ba3d5db51721b0b4fc
52,ma-g5-technology-u04-l06,5,CORRECT,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,post-submission review,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Preserve the original run and repair attempt in the defect log. Compare the earliest divergent state with the specification before proposing a revised repair.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u04-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u04-l06.scoring-guide.json,b8484931b1db4850286129d907778094a0a5451d9d3dd98d693865a94d5d3775,303431ea76e3f33ef4cebdf76e76c7906b857488193d06e0fe952a0ac3bfdb8d
53,ma-g5-technology-u06-l05,5,DEMONSTRATE,SUMMATIVE,GENERIC_SEQUENCE_INDEX,SUMMATIVE_SOLUTION_EXPOSURE,true,Iteration begins at index 0; all three tests retain every step in order.,"trusted solution reference, then post-submission review",SUMMATIVE_SOLUTION_WITHHELD_BEFORE_EVIDENCE,false,"Run and record the unchanged program, then diagnose and repair it independently from the specification and tests. No solution or worked repair is included in learner material.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-05/ma-g5-technology-u06-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-05/ma-g5-technology-u06-l05.scoring-guide.json,6dc4f34d8593b14d5205c4f538d24ecd791b17a075f0a1dbdb5614471cbaadcc,b6cd1580801b983243d7a633902378554673072d1bb9b3e41cf0d3ac1f976068
54,ma-g7-technology-u02-l01,7,PROBE,FORMATIVE_NO_PENALTY,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Before editing, record the unchanged output and identify which stated rule is first contradicted. Do not look for or request a finished repair.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u02-l01.scoring-guide.json,6be64e4384bc486eefc5415276094b8b427667aadd4ecc637020d43642781f45,1cd2a57bb8329967780846ddf9e501de9cbd01d005dc95ce0181a4337d5be8e3
55,ma-g7-technology-u02-l02,7,MODEL,FORMATIVE_NO_PENALTY,GENERIC_SEQUENCE_INDEX,LEGITIMATE_WORKED_EXAMPLE,false,Iteration begins at index 0; all three tests retain every step in order.,worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,Iteration begins at index 0; all three tests retain every step in order.,true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u02-l02.scoring-guide.json,21950492b717178c309a8b866661373f021f01c437d8499a2cdcc0714c53aaba,2db4b63e74a1a60b6047bce46a97b0e9b37f4b1d4c65817f2112ac6c37cbea20
56,ma-g7-technology-u02-l03,7,GUIDED,PROGRESS_EVIDENCE,DATA_AGGREGATION,FULL_SOLUTION_BEFORE_ATTEMPT,true,"The reducer uses total + record.value; the tests return 6, 0, and 0.",hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u02-l03.scoring-guide.json,d1b3c2633db4946c271dbc21e4e4edadac13f2bdddac7ee6662ed0934a227b2e,4a48e5529e35901f8348869ad978f921292e4bb48500e21ab956f62d05f1672b
57,ma-g7-technology-u02-l04,7,BUILD,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder plus trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Use the three tests to isolate one defect region, then choose and justify the smallest edit that satisfies the specification without weakening a boundary test.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l04.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u02-l04.scoring-guide.json,b3a4c464328fcde32fb6d89d7ae16b1dba4663946c39c12c73d88382728902a3,fbd431fe6d87f698f8263c8675a092b9e808397633fca29451b95afbf1e99ce6
58,ma-g7-technology-u02-l05,7,DEMONSTRATE,SUMMATIVE,GENERIC_SEQUENCE_INDEX,SUMMATIVE_SOLUTION_EXPOSURE,true,Iteration begins at index 0; all three tests retain every step in order.,"trusted solution reference, then post-submission review",SUMMATIVE_SOLUTION_WITHHELD_BEFORE_EVIDENCE,false,"Run and record the unchanged program, then diagnose and repair it independently from the specification and tests. No solution or worked repair is included in learner material.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u02-l05.scoring-guide.json,145213696d9b7609566bc1fceaeff87ab963b000dd145b9ffc86193a646ba9fe,67b3c7ac060945c829fa2c57b060bb3a61e94f91c7b91c0c65ac8b9e6130bf37
59,ma-g7-technology-u02-l06,7,CORRECT,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,post-submission review,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Preserve the original run and repair attempt in the defect log. Compare the earliest divergent state with the specification before proposing a revised repair.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u02-l06.scoring-guide.json,2533d731f25c3183da62872e572b664c491148eaf6caa24f9ea3431137dddbd3,45717aa1dcb6cff4853d496b1f27ac4d74b8e336ca9db4515429291da5c4ab0a
60,ma-g7-technology-u03-l01,7,PROBE,FORMATIVE_NO_PENALTY,HTML_ACCESSIBLE_LABEL,FULL_SOLUTION_BEFORE_ATTEMPT,true,"The filter checks control.label; the three tests return 1, 0, and 0.",trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Before editing, record the unchanged output and identify which stated rule is first contradicted. Do not look for or request a finished repair.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u03-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u03-l01.scoring-guide.json,ad5224c6bb999d6ae43f93461e9f5543729a231be7ca155bd5528ec6ad7acad8,0fd1d7646472bb34408949dead00fd62eec8bfb72aa0357495188206eca21bfe
61,ma-g7-technology-u04-l02,7,MODEL,FORMATIVE_NO_PENALTY,GENERIC_SEQUENCE_INDEX,LEGITIMATE_WORKED_EXAMPLE,false,Iteration begins at index 0; all three tests retain every step in order.,worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,Iteration begins at index 0; all three tests retain every step in order.,true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u04-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u04-l02.scoring-guide.json,38a2481ad3f77219c5df14282597f0f037115fa8a56b1a7e667db5a3597d0297,b20f403e866158dd19935f729295e21e298461f8e2c7972c84c7e37abfb707d9
62,ma-g7-technology-u06-l06,7,CORRECT,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,post-submission review,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Preserve the original run and repair attempt in the defect log. Compare the earliest divergent state with the specification before proposing a revised repair.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u06-l06.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-07/ma-g7-technology-u06-l06.scoring-guide.json,fff138a4f7edfe3d0fc80721c389e11b6a2dba07f53accce640434204e0fc76c,c034c8a82cd3fe344d9e31ba8b0f2da94f36c7b329f8c36cd6eb077877d0c10d
63,ma-g8-technology-u01-l03,8,GUIDED,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u01-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-08/ma-g8-technology-u01-l03.scoring-guide.json,864835ae8256af56ae7b7424194a83718646ba3f451a5dd063055ff8b0a5dc4f,ead8689d4096e1dc0e8713b1a577e57b34e8078c82e11c385ed2fdb8ec9697aa
64,ma-g8-technology-u02-l01,8,PROBE,FORMATIVE_NO_PENALTY,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Before editing, record the unchanged output and identify which stated rule is first contradicted. Do not look for or request a finished repair.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u02-l01.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-08/ma-g8-technology-u02-l01.scoring-guide.json,67bcbc2f26342fafd533da168736a96c04df49cceefc0c4c56900ef157d60e7d,3eb42483f81e823765e026e012f1a49b03d5b906ff15df43cfadc1fde7bc9558
65,ma-g8-technology-u02-l02,8,MODEL,FORMATIVE_NO_PENALTY,GENERIC_SEQUENCE_INDEX,LEGITIMATE_WORKED_EXAMPLE,false,Iteration begins at index 0; all three tests retain every step in order.,worked example separation,LEGITIMATE_WORKED_EXAMPLE_PRESERVED,false,Iteration begins at index 0; all three tests retain every step in order.,true,true,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u02-l02.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-08/ma-g8-technology-u02-l02.scoring-guide.json,c4e88a2f48eafd19c874e66c44adb8706653963dca80d8982d835a6fa4cf0add,7c17703f8c02acc232143d3785edd3d5b2fa6b29cef1e3041a4f7b439406c1e7
66,ma-g8-technology-u02-l03,8,GUIDED,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,Trace the value that controls the failing behavior and mark the first step where actual and expected state diverge. Use that location to propose your own smallest edit.,false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u02-l03.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-08/ma-g8-technology-u02-l03.scoring-guide.json,9fd1835b84a3ab1087b80d42ded3ddd0a848fc63428094131fb422ad22cef30f,b7b8630e4dd23feef86935920a96fdf2257edfa10593b59a2e821f83653017b9
67,ma-g8-technology-u02-l04,8,BUILD,PROGRESS_EVIDENCE,GENERIC_SEQUENCE_INDEX,FULL_SOLUTION_BEFORE_ATTEMPT,true,Iteration begins at index 0; all three tests retain every step in order.,hint ladder plus trusted solution reference,ATTEMPT_SAFE_SUPPORT_BEFORE_EVIDENCE,false,"Use the three tests to isolate one defect region, then choose and justify the smallest edit that satisfies the specification without weakening a boundary test.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u02-l04.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-08/ma-g8-technology-u02-l04.scoring-guide.json,cab9ef74828bec02190d73e43c38581769ed8f851c88fb916efdaaafa9d726fc,667c281328cbb9fc9379346c53aec18fa8153dc4a121c3bb0f25b00a96b76c40
68,ma-g8-technology-u02-l05,8,DEMONSTRATE,SUMMATIVE,GENERIC_SEQUENCE_INDEX,SUMMATIVE_SOLUTION_EXPOSURE,true,Iteration begins at index 0; all three tests retain every step in order.,"trusted solution reference, then post-submission review",SUMMATIVE_SOLUTION_WITHHELD_BEFORE_EVIDENCE,false,"Run and record the unchanged program, then diagnose and repair it independently from the specification and tests. No solution or worked repair is included in learner material.",false,false,true,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u02-l05.task-package.json,curriculum-production/student-work/technology-arts-lessons/scoring-guides/technology/grade-08/ma-g8-technology-u02-l05.scoring-guide.json,775b655e0066ae575acd82600b4d7c291f05ecf84c5ad741b8d3430b56a28162,a915bb86a59333b680c9a833ee40f9b9664b62af821965a9b4f3c849e8814d9a
