lesson_id,course_id,grade,subject,course_day,unit_number,unit_title,day_in_unit,title,phase,focus,evidence_type,standards
ma-g3-mathematics-u07-l11,ma-g3-mathematics,3,mathematics,119,7,"Measurement: Time, Liquid Volume, and Mass",11,Concept extension: choosing a unit and estimating before measuring,Concept extension,choosing a unit and estimating before measuring,instruction,3.MD.2;MP.6
ma-g3-mathematics-u07-l12,ma-g3-mathematics,3,mathematics,120,7,"Measurement: Time, Liquid Volume, and Mass",12,Applied problem solving: measurement problems solved by multiplication and division,Applied problem solving,measurement problems solved by multiplication and division,independent-evidence,3.OA.3;3.MD.2
ma-g3-mathematics-u07-l13,ma-g3-mathematics,3,mathematics,121,7,"Measurement: Time, Liquid Volume, and Mass",13,Performance task: plan: the day plan and Measure It station guide,Performance task: plan,the day plan and Measure It station guide,project,3.MD.1;3.MD.2;MP.4
ma-g3-mathematics-u07-l14,ma-g3-mathematics,3,mathematics,122,7,"Measurement: Time, Liquid Volume, and Mass",14,"Performance task: build: the guide with estimates, units, and elapsed-time reasoning",Performance task: build,"the guide with estimates, units, and elapsed-time reasoning",project,3.MD.1;3.MD.2
ma-g3-mathematics-u07-l15,ma-g3-mathematics,3,mathematics,123,7,"Measurement: Time, Liquid Volume, and Mass",15,Synthesis and review: measurement reasoning,Synthesis and review,measurement reasoning,retrieval,3.MD.1;3.MD.2
ma-g3-mathematics-u07-l16,ma-g3-mathematics,3,mathematics,124,7,"Measurement: Time, Liquid Volume, and Mass",16,"Unit assessment: time, liquid volume, and mass",Unit assessment,"time, liquid volume, and mass",assessment,3.MD.1;3.MD.2
ma-g3-mathematics-u07-l17,ma-g3-mathematics,3,mathematics,125,7,"Measurement: Time, Liquid Volume, and Mass",17,Targeted correction and reassessment: elapsed time and units,Targeted correction and reassessment,elapsed time and units,reassessment,3.MD.1;3.MD.2
ma-g3-mathematics-u07-l18,ma-g3-mathematics,3,mathematics,126,7,"Measurement: Time, Liquid Volume, and Mass",18,"Transfer, reflection, and publication: measuring safely with an adult at home","Transfer, reflection, and publication",measuring safely with an adult at home,independent-evidence,3.MD.2;MP.4
ma-g3-mathematics-u08-l01,ma-g3-mathematics,3,mathematics,127,8,Data: Scaled Graphs and Measurement Line Plots,1,Launch and diagnostic: questions a graph can and cannot answer,Launch and diagnostic,questions a graph can and cannot answer,instruction,3.MD.3;MP.3
ma-g3-mathematics-u08-l02,ma-g3-mathematics,3,mathematics,128,8,Data: Scaled Graphs and Measurement Line Plots,2,Concept build A: picture graphs with a scaled key,Concept build A,picture graphs with a scaled key,instruction,3.MD.3
ma-g3-mathematics-u08-l03,ma-g3-mathematics,3,mathematics,129,8,Data: Scaled Graphs and Measurement Line Plots,3,Concept build B: drawing and reading scaled bar graphs,Concept build B,drawing and reading scaled bar graphs,instruction,3.MD.3
ma-g3-mathematics-u08-l04,ma-g3-mathematics,3,mathematics,130,8,Data: Scaled Graphs and Measurement Line Plots,4,Guided practice A: one- and two-step questions from a graph,Guided practice A,one- and two-step questions from a graph,guided-practice,3.OA.8;3.MD.3
ma-g3-mathematics-u08-l05,ma-g3-mathematics,3,mathematics,131,8,Data: Scaled Graphs and Measurement Line Plots,5,Independent evidence A: a scaled bar graph from a data set,Independent evidence A,a scaled bar graph from a data set,independent-evidence,3.MD.3
ma-g3-mathematics-u08-l06,ma-g3-mathematics,3,mathematics,132,8,Data: Scaled Graphs and Measurement Line Plots,6,Concept build C: measuring lengths to the nearest half and quarter inch,Concept build C,measuring lengths to the nearest half and quarter inch,instruction,3.MD.4;MP.5
ma-g3-mathematics-u08-l07,ma-g3-mathematics,3,mathematics,133,8,Data: Scaled Graphs and Measurement Line Plots,7,Guided practice B: a line plot from measurement data,Guided practice B,a line plot from measurement data,guided-practice,3.MD.4
ma-g3-mathematics-u08-l08,ma-g3-mathematics,3,mathematics,134,8,Data: Scaled Graphs and Measurement Line Plots,8,Error analysis and repair: misleading-scale and axis errors,Error analysis and repair,misleading-scale and axis errors,guided-practice,3.MD.3;MP.3
ma-g3-mathematics-u08-l09,ma-g3-mathematics,3,mathematics,135,8,Data: Scaled Graphs and Measurement Line Plots,9,Retrieval and fluency: reading scaled graphs,Retrieval and fluency,reading scaled graphs,retrieval,3.MD.3
ma-g3-mathematics-u08-l10,ma-g3-mathematics,3,mathematics,136,8,Data: Scaled Graphs and Measurement Line Plots,10,Independent evidence B: interpreting a line plot,Independent evidence B,interpreting a line plot,independent-evidence,3.MD.4
ma-g3-mathematics-u08-l11,ma-g3-mathematics,3,mathematics,137,8,Data: Scaled Graphs and Measurement Line Plots,11,Concept extension: comparing categories with two-step questions,Concept extension,comparing categories with two-step questions,instruction,3.OA.8;3.MD.3
ma-g3-mathematics-u08-l12,ma-g3-mathematics,3,mathematics,138,8,Data: Scaled Graphs and Measurement Line Plots,12,Applied problem solving: choosing a representation that fits the question,Applied problem solving,choosing a representation that fits the question,independent-evidence,3.MD.3;3.MD.4;MP.4
ma-g3-mathematics-u08-l13,ma-g3-mathematics,3,mathematics,139,8,Data: Scaled Graphs and Measurement Line Plots,13,Performance task: plan: a de-identified survey or measurement study,Performance task: plan,a de-identified survey or measurement study,project,3.MD.3;3.MD.4;MP.4
ma-g3-mathematics-u08-l14,ma-g3-mathematics,3,mathematics,140,8,Data: Scaled Graphs and Measurement Line Plots,14,"Performance task: build: the graph, line plot, and interpretation",Performance task: build,"the graph, line plot, and interpretation",project,3.MD.3;3.MD.4
ma-g3-mathematics-u08-l15,ma-g3-mathematics,3,mathematics,141,8,Data: Scaled Graphs and Measurement Line Plots,15,Synthesis and review: representing and interpreting data,Synthesis and review,representing and interpreting data,retrieval,3.MD.3;3.MD.4
ma-g3-mathematics-u08-l16,ma-g3-mathematics,3,mathematics,142,8,Data: Scaled Graphs and Measurement Line Plots,16,Unit assessment: scaled graphs and line plots,Unit assessment,scaled graphs and line plots,assessment,3.MD.3;3.MD.4
ma-g3-mathematics-u08-l17,ma-g3-mathematics,3,mathematics,143,8,Data: Scaled Graphs and Measurement Line Plots,17,Targeted correction and reassessment: scale and interpretation,Targeted correction and reassessment,scale and interpretation,reassessment,3.MD.3;3.MD.4
ma-g3-mathematics-u08-l18,ma-g3-mathematics,3,mathematics,144,8,Data: Scaled Graphs and Measurement Line Plots,18,"Transfer, reflection, and publication: judging whether a real graph is honest","Transfer, reflection, and publication",judging whether a real graph is honest,independent-evidence,3.MD.3;MP.3
ma-g3-mathematics-u09-l01,ma-g3-mathematics,3,mathematics,145,9,Area and the Distributive Property,1,Launch and diagnostic: covering a surface without gaps or overlaps,Launch and diagnostic,covering a surface without gaps or overlaps,instruction,3.MD.5;MP.1
ma-g3-mathematics-u09-l02,ma-g3-mathematics,3,mathematics,146,9,Area and the Distributive Property,2,Concept build A: unit squares and area as a count of squares,Concept build A,unit squares and area as a count of squares,instruction,3.MD.5
ma-g3-mathematics-u09-l03,ma-g3-mathematics,3,mathematics,147,9,Area and the Distributive Property,3,Concept build B: measuring area by tiling,Concept build B,measuring area by tiling,instruction,3.MD.6
ma-g3-mathematics-u09-l04,ma-g3-mathematics,3,mathematics,148,9,Area and the Distributive Property,4,Guided practice A: counting unit squares in standard square units,Guided practice A,counting unit squares in standard square units,guided-practice,3.MD.6
ma-g3-mathematics-u09-l05,ma-g3-mathematics,3,mathematics,149,9,Area and the Distributive Property,5,Independent evidence A: finding area from a tiled figure,Independent evidence A,finding area from a tiled figure,independent-evidence,3.MD.5;3.MD.6
ma-g3-mathematics-u09-l06,ma-g3-mathematics,3,mathematics,150,9,Area and the Distributive Property,6,Concept build C: area as the product of side lengths,Concept build C,area as the product of side lengths,instruction,3.MD.7
ma-g3-mathematics-u09-l07,ma-g3-mathematics,3,mathematics,151,9,Area and the Distributive Property,7,Guided practice B: connecting tiling to the area formula,Guided practice B,connecting tiling to the area formula,guided-practice,3.MD.7
ma-g3-mathematics-u09-l08,ma-g3-mathematics,3,mathematics,152,9,Area and the Distributive Property,8,Error analysis and repair: area-versus-perimeter confusion,Error analysis and repair,area-versus-perimeter confusion,guided-practice,3.MD.7;MP.3
ma-g3-mathematics-u09-l09,ma-g3-mathematics,3,mathematics,153,9,Area and the Distributive Property,9,Retrieval and fluency: products read as areas,Retrieval and fluency,products read as areas,retrieval,3.OA.7;3.MD.7
ma-g3-mathematics-u09-l10,ma-g3-mathematics,3,mathematics,154,9,Area and the Distributive Property,10,Independent evidence B: area of rectangles in real contexts,Independent evidence B,area of rectangles in real contexts,independent-evidence,3.MD.7
ma-g3-mathematics-u09-l11,ma-g3-mathematics,3,mathematics,155,9,Area and the Distributive Property,11,Concept extension: breaking a rectangle apart to show the distributive property,Concept extension,breaking a rectangle apart to show the distributive property,instruction,3.OA.5;3.MD.7;MP.7
ma-g3-mathematics-u09-l12,ma-g3-mathematics,3,mathematics,156,9,Area and the Distributive Property,12,Applied problem solving: area of combined rectilinear figures,Applied problem solving,area of combined rectilinear figures,independent-evidence,3.MD.7
ma-g3-mathematics-u09-l13,ma-g3-mathematics,3,mathematics,157,9,Area and the Distributive Property,13,Performance task: plan: the floor plan design,Performance task: plan,the floor plan design,project,3.MD.7;MP.4
ma-g3-mathematics-u09-l14,ma-g3-mathematics,3,mathematics,158,9,Area and the Distributive Property,14,Performance task: build: the plan with every area justified two ways,Performance task: build,the plan with every area justified two ways,project,3.MD.7
ma-g3-mathematics-u09-l15,ma-g3-mathematics,3,mathematics,159,9,Area and the Distributive Property,15,"Synthesis and review: area concepts, tiling, and formulas",Synthesis and review,"area concepts, tiling, and formulas",retrieval,3.MD.5;3.MD.6;3.MD.7
ma-g3-mathematics-u09-l16,ma-g3-mathematics,3,mathematics,160,9,Area and the Distributive Property,16,Unit assessment: area and the distributive property,Unit assessment,area and the distributive property,assessment,3.MD.5;3.MD.6;3.MD.7
ma-g3-mathematics-u09-l17,ma-g3-mathematics,3,mathematics,161,9,Area and the Distributive Property,17,Targeted correction and reassessment: area reasoning,Targeted correction and reassessment,area reasoning,reassessment,3.MD.7
ma-g3-mathematics-u09-l18,ma-g3-mathematics,3,mathematics,162,9,Area and the Distributive Property,18,"Transfer, reflection, and publication: area in the spaces around us","Transfer, reflection, and publication",area in the spaces around us,independent-evidence,3.MD.7;MP.4
ma-g3-mathematics-u10-l01,ma-g3-mathematics,3,mathematics,163,10,"Perimeter, Geometry, and Integrated Capstone",1,Launch and diagnostic: distance around compared with space inside,Launch and diagnostic,distance around compared with space inside,instruction,3.MD.8;MP.1
ma-g3-mathematics-u10-l02,ma-g3-mathematics,3,mathematics,164,10,"Perimeter, Geometry, and Integrated Capstone",2,Concept build A: finding the perimeter of polygons,Concept build A,finding the perimeter of polygons,instruction,3.MD.8
ma-g3-mathematics-u10-l03,ma-g3-mathematics,3,mathematics,165,10,"Perimeter, Geometry, and Integrated Capstone",3,Concept build B: finding an unknown side length from a known perimeter,Concept build B,finding an unknown side length from a known perimeter,instruction,3.MD.8
ma-g3-mathematics-u10-l04,ma-g3-mathematics,3,mathematics,166,10,"Perimeter, Geometry, and Integrated Capstone",4,"Guided practice A: same perimeter, different area",Guided practice A,"same perimeter, different area",guided-practice,3.MD.8
ma-g3-mathematics-u10-l05,ma-g3-mathematics,3,mathematics,167,10,"Perimeter, Geometry, and Integrated Capstone",5,"Independent evidence A: same area, different perimeter",Independent evidence A,"same area, different perimeter",independent-evidence,3.MD.8
ma-g3-mathematics-u10-l06,ma-g3-mathematics,3,mathematics,168,10,"Perimeter, Geometry, and Integrated Capstone",6,Concept build C: categories of quadrilaterals and their attributes,Concept build C,categories of quadrilaterals and their attributes,instruction,3.G.1
ma-g3-mathematics-u10-l07,ma-g3-mathematics,3,mathematics,169,10,"Perimeter, Geometry, and Integrated Capstone",7,Guided practice B: attributes shared across shape categories,Guided practice B,attributes shared across shape categories,guided-practice,3.G.1
ma-g3-mathematics-u10-l08,ma-g3-mathematics,3,mathematics,170,10,"Perimeter, Geometry, and Integrated Capstone",8,Error analysis and repair: classification-by-appearance errors,Error analysis and repair,classification-by-appearance errors,guided-practice,3.G.1;MP.3
ma-g3-mathematics-u10-l09,ma-g3-mathematics,3,mathematics,171,10,"Perimeter, Geometry, and Integrated Capstone",9,"Retrieval and fluency: perimeter, area, and shape names",Retrieval and fluency,"perimeter, area, and shape names",retrieval,3.MD.8;3.G.1
ma-g3-mathematics-u10-l10,ma-g3-mathematics,3,mathematics,172,10,"Perimeter, Geometry, and Integrated Capstone",10,Independent evidence B: partitioning shapes into parts with equal areas,Independent evidence B,partitioning shapes into parts with equal areas,independent-evidence,3.NF.1;3.G.2
ma-g3-mathematics-u10-l11,ma-g3-mathematics,3,mathematics,173,10,"Perimeter, Geometry, and Integrated Capstone",11,Concept extension: design constraints that involve both perimeter and area,Concept extension,design constraints that involve both perimeter and area,instruction,3.MD.7;3.MD.8
ma-g3-mathematics-u10-l12,ma-g3-mathematics,3,mathematics,174,10,"Perimeter, Geometry, and Integrated Capstone",12,"Applied problem solving: connecting geometry, fractions, and measurement",Applied problem solving,"connecting geometry, fractions, and measurement",independent-evidence,3.NF.1;3.MD.7;3.G.2
ma-g3-mathematics-u10-l13,ma-g3-mathematics,3,mathematics,175,10,"Perimeter, Geometry, and Integrated Capstone",13,Performance task: plan: the capstone design,Performance task: plan,the capstone design,project,3.MD.7;3.MD.8;MP.4
ma-g3-mathematics-u10-l14,ma-g3-mathematics,3,mathematics,176,10,"Perimeter, Geometry, and Integrated Capstone",14,Performance task: build: the capstone design,Performance task: build,the capstone design,project,3.MD.7;3.MD.8;3.G.1
ma-g3-mathematics-u10-l15,ma-g3-mathematics,3,mathematics,177,10,"Perimeter, Geometry, and Integrated Capstone",15,Synthesis and review: the mathematical justifications in the capstone design,Synthesis and review,the mathematical justifications in the capstone design,retrieval,3.MD.8;3.G.1;MP.3
ma-g3-mathematics-u10-l16,ma-g3-mathematics,3,mathematics,178,10,"Perimeter, Geometry, and Integrated Capstone",16,"Unit assessment: perimeter, geometry, and partitioning",Unit assessment,"perimeter, geometry, and partitioning",assessment,3.MD.8;3.G.1;3.G.2
ma-g3-mathematics-u10-l17,ma-g3-mathematics,3,mathematics,179,10,"Perimeter, Geometry, and Integrated Capstone",17,Targeted correction and reassessment: perimeter and classification,Targeted correction and reassessment,perimeter and classification,reassessment,3.MD.8;3.G.1
ma-g3-mathematics-u10-l18,ma-g3-mathematics,3,mathematics,180,10,"Perimeter, Geometry, and Integrated Capstone",18,"Transfer, reflection, and publication: perimeter, area, and shape classification in the completed design","Transfer, reflection, and publication","perimeter, area, and shape classification in the completed design",independent-evidence,3.MD.8;3.G.1;MP.4
ma-g4-mathematics-u01-l01,ma-g4-mathematics,4,mathematics,1,1,Mathematical Habits and Place Value to One Million,1,Launch and diagnostic: making sense of large numbers and unfamiliar problems,Launch and diagnostic,making sense of large numbers and unfamiliar problems,instruction,MP.1;MP.3
ma-g4-mathematics-u01-l02,ma-g4-mathematics,4,mathematics,2,1,Mathematical Habits and Place Value to One Million,2,Concept build A: a digit represents ten times what it represents to its right,Concept build A,a digit represents ten times what it represents to its right,instruction,4.NBT.1;MP.7
ma-g4-mathematics-u01-l03,ma-g4-mathematics,4,mathematics,3,1,Mathematical Habits and Place Value to One Million,3,Concept build B: place value through the hundred thousands and beyond,Concept build B,place value through the hundred thousands and beyond,instruction,4.NBT.1;4.NBT.2
ma-g4-mathematics-u01-l04,ma-g4-mathematics,4,mathematics,4,1,Mathematical Habits and Place Value to One Million,4,Guided practice A: reading and writing multi-digit numbers in three forms,Guided practice A,reading and writing multi-digit numbers in three forms,guided-practice,4.NBT.2
ma-g4-mathematics-u01-l05,ma-g4-mathematics,4,mathematics,5,1,Mathematical Habits and Place Value to One Million,5,Independent evidence A: expanded form and number names,Independent evidence A,expanded form and number names,independent-evidence,4.NBT.1;4.NBT.2
ma-g4-mathematics-u01-l06,ma-g4-mathematics,4,mathematics,6,1,Mathematical Habits and Place Value to One Million,6,Concept build C: comparing multi-digit numbers using place value,Concept build C,comparing multi-digit numbers using place value,instruction,4.NBT.2
ma-g4-mathematics-u01-l07,ma-g4-mathematics,4,mathematics,7,1,Mathematical Habits and Place Value to One Million,7,"Guided practice B: recording comparisons with greater than, equal to, and less than",Guided practice B,"recording comparisons with greater than, equal to, and less than",guided-practice,4.NBT.2;MP.6
ma-g4-mathematics-u01-l08,ma-g4-mathematics,4,mathematics,8,1,Mathematical Habits and Place Value to One Million,8,Error analysis and repair: digit-count comparison errors,Error analysis and repair,digit-count comparison errors,guided-practice,4.NBT.2;MP.3
ma-g4-mathematics-u01-l09,ma-g4-mathematics,4,mathematics,9,1,Mathematical Habits and Place Value to One Million,9,Retrieval and fluency: place value and comparison,Retrieval and fluency,place value and comparison,retrieval,4.NBT.1;4.NBT.2
ma-g4-mathematics-u01-l10,ma-g4-mathematics,4,mathematics,10,1,Mathematical Habits and Place Value to One Million,10,Independent evidence B: comparing and ordering multi-digit numbers in context,Independent evidence B,comparing and ordering multi-digit numbers in context,independent-evidence,4.NBT.2
ma-g4-mathematics-u01-l11,ma-g4-mathematics,4,mathematics,11,1,Mathematical Habits and Place Value to One Million,11,Concept extension: rounding multi-digit whole numbers to any place,Concept extension,rounding multi-digit whole numbers to any place,instruction,4.NBT.3
ma-g4-mathematics-u01-l12,ma-g4-mathematics,4,mathematics,12,1,Mathematical Habits and Place Value to One Million,12,Applied problem solving: choosing a rounding place and estimating to judge reasonableness,Applied problem solving,choosing a rounding place and estimating to judge reasonableness,independent-evidence,4.NBT.3;MP.1;MP.3
ma-g4-mathematics-u01-l13,ma-g4-mathematics,4,mathematics,13,1,Mathematical Habits and Place Value to One Million,13,Performance task: plan: the Ten Times Bigger explainer,Performance task: plan,the Ten Times Bigger explainer,project,4.NBT.1;4.NBT.2;MP.4
ma-g4-mathematics-u01-l14,ma-g4-mathematics,4,mathematics,14,1,Mathematical Habits and Place Value to One Million,14,Performance task: build: the explainer with models and comparisons,Performance task: build,the explainer with models and comparisons,project,4.NBT.1;4.NBT.2;4.NBT.3
ma-g4-mathematics-u01-l15,ma-g4-mathematics,4,mathematics,15,1,Mathematical Habits and Place Value to One Million,15,"Synthesis and review: place value, comparison, and rounding",Synthesis and review,"place value, comparison, and rounding",retrieval,4.NBT.1;4.NBT.2;4.NBT.3
ma-g4-mathematics-u01-l16,ma-g4-mathematics,4,mathematics,16,1,Mathematical Habits and Place Value to One Million,16,Unit assessment: multi-digit place value and rounding,Unit assessment,multi-digit place value and rounding,assessment,4.NBT.1;4.NBT.2;4.NBT.3
ma-g4-mathematics-u01-l17,ma-g4-mathematics,4,mathematics,17,1,Mathematical Habits and Place Value to One Million,17,Targeted correction and reassessment: comparison and rounding,Targeted correction and reassessment,comparison and rounding,reassessment,4.NBT.2;4.NBT.3
ma-g4-mathematics-u01-l18,ma-g4-mathematics,4,mathematics,18,1,Mathematical Habits and Place Value to One Million,18,"Transfer, reflection, and publication: reading large numbers encountered in the world","Transfer, reflection, and publication",reading large numbers encountered in the world,independent-evidence,4.NBT.3;MP.4
ma-g4-mathematics-u02-l01,ma-g4-mathematics,4,mathematics,19,2,Multi-Digit Addition and Subtraction,1,Launch and diagnostic: what the standard algorithm records about place value,Launch and diagnostic,what the standard algorithm records about place value,instruction,4.NBT.4;MP.1
ma-g4-mathematics-u02-l02,ma-g4-mathematics,4,mathematics,20,2,Multi-Digit Addition and Subtraction,2,Concept build A: multi-digit addition with regrouping across places,Concept build A,multi-digit addition with regrouping across places,instruction,4.NBT.4
ma-g4-mathematics-u02-l03,ma-g4-mathematics,4,mathematics,21,2,Multi-Digit Addition and Subtraction,3,Concept build B: why regrouping preserves the value of a number,Concept build B,why regrouping preserves the value of a number,instruction,4.NBT.1;4.NBT.4
ma-g4-mathematics-u02-l04,ma-g4-mathematics,4,mathematics,22,2,Multi-Digit Addition and Subtraction,4,Guided practice A: fluent multi-digit addition,Guided practice A,fluent multi-digit addition,guided-practice,4.NBT.4
ma-g4-mathematics-u02-l05,ma-g4-mathematics,4,mathematics,23,2,Multi-Digit Addition and Subtraction,5,Independent evidence A: addition inside multistep contexts,Independent evidence A,addition inside multistep contexts,independent-evidence,4.NBT.4
ma-g4-mathematics-u02-l06,ma-g4-mathematics,4,mathematics,24,2,Multi-Digit Addition and Subtraction,6,Concept build C: multi-digit subtraction with regrouping,Concept build C,multi-digit subtraction with regrouping,instruction,4.NBT.4
ma-g4-mathematics-u02-l07,ma-g4-mathematics,4,mathematics,25,2,Multi-Digit Addition and Subtraction,7,Guided practice B: subtraction across zeros,Guided practice B,subtraction across zeros,guided-practice,4.NBT.4
ma-g4-mathematics-u02-l08,ma-g4-mathematics,4,mathematics,26,2,Multi-Digit Addition and Subtraction,8,Error analysis and repair: alignment and regrouping errors,Error analysis and repair,alignment and regrouping errors,guided-practice,4.NBT.4;MP.3
ma-g4-mathematics-u02-l09,ma-g4-mathematics,4,mathematics,27,2,Multi-Digit Addition and Subtraction,9,Retrieval and fluency: mixed addition and subtraction,Retrieval and fluency,mixed addition and subtraction,retrieval,4.NBT.4
ma-g4-mathematics-u02-l10,ma-g4-mathematics,4,mathematics,28,2,Multi-Digit Addition and Subtraction,10,Independent evidence B: comparison and difference situations in context,Independent evidence B,comparison and difference situations in context,independent-evidence,4.NBT.4
ma-g4-mathematics-u02-l11,ma-g4-mathematics,4,mathematics,29,2,Multi-Digit Addition and Subtraction,11,Concept extension: multistep problems using a letter for the unknown quantity,Concept extension,multistep problems using a letter for the unknown quantity,instruction,4.OA.3
ma-g4-mathematics-u02-l12,ma-g4-mathematics,4,mathematics,30,2,Multi-Digit Addition and Subtraction,12,Applied problem solving: multistep problems checked against a rounded estimate,Applied problem solving,multistep problems checked against a rounded estimate,independent-evidence,4.OA.3;4.NBT.3
ma-g4-mathematics-u02-l13,ma-g4-mathematics,4,mathematics,31,2,Multi-Digit Addition and Subtraction,13,Performance task: plan: the error-audit correction guide,Performance task: plan,the error-audit correction guide,project,4.NBT.4;MP.3
ma-g4-mathematics-u02-l14,ma-g4-mathematics,4,mathematics,32,2,Multi-Digit Addition and Subtraction,14,Performance task: build: corrections with place-value explanations,Performance task: build,corrections with place-value explanations,project,4.OA.3;4.NBT.4
ma-g4-mathematics-u02-l15,ma-g4-mathematics,4,mathematics,33,2,Multi-Digit Addition and Subtraction,15,"Synthesis and review: algorithm, reasoning, and reasonableness",Synthesis and review,"algorithm, reasoning, and reasonableness",retrieval,4.OA.3;4.NBT.4
ma-g4-mathematics-u02-l16,ma-g4-mathematics,4,mathematics,34,2,Multi-Digit Addition and Subtraction,16,Unit assessment: multi-digit addition and subtraction,Unit assessment,multi-digit addition and subtraction,assessment,4.OA.3;4.NBT.3;4.NBT.4
ma-g4-mathematics-u02-l17,ma-g4-mathematics,4,mathematics,35,2,Multi-Digit Addition and Subtraction,17,Targeted correction and reassessment: regrouping,Targeted correction and reassessment,regrouping,reassessment,4.OA.3;4.NBT.4
ma-g4-mathematics-u02-l18,ma-g4-mathematics,4,mathematics,36,2,Multi-Digit Addition and Subtraction,18,"Transfer, reflection, and publication: checking a total before trusting it","Transfer, reflection, and publication",checking a total before trusting it,independent-evidence,4.OA.3;MP.4
ma-g4-mathematics-u03-l01,ma-g4-mathematics,4,mathematics,37,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",1,Launch and diagnostic: more than compared with times as many,Launch and diagnostic,more than compared with times as many,instruction,4.OA.1;MP.1
ma-g4-mathematics-u03-l02,ma-g4-mathematics,4,mathematics,38,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",2,Concept build A: interpreting a multiplication equation as a comparison,Concept build A,interpreting a multiplication equation as a comparison,instruction,4.OA.1
ma-g4-mathematics-u03-l03,ma-g4-mathematics,4,mathematics,39,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",3,Concept build B: writing equations for multiplicative comparisons,Concept build B,writing equations for multiplicative comparisons,instruction,4.OA.1
ma-g4-mathematics-u03-l04,ma-g4-mathematics,4,mathematics,40,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",4,Guided practice A: comparison word problems solved with models,Guided practice A,comparison word problems solved with models,guided-practice,4.OA.2
ma-g4-mathematics-u03-l05,ma-g4-mathematics,4,mathematics,41,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",5,Independent evidence A: distinguishing additive from multiplicative comparison,Independent evidence A,distinguishing additive from multiplicative comparison,independent-evidence,4.OA.2;MP.3
ma-g4-mathematics-u03-l06,ma-g4-mathematics,4,mathematics,42,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",6,Concept build C: finding factor pairs for whole numbers within 100,Concept build C,finding factor pairs for whole numbers within 100,instruction,4.OA.4
ma-g4-mathematics-u03-l07,ma-g4-mathematics,4,mathematics,43,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",7,Guided practice B: finding all factor pairs systematically,Guided practice B,finding all factor pairs systematically,guided-practice,4.OA.4
ma-g4-mathematics-u03-l08,ma-g4-mathematics,4,mathematics,44,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",8,Error analysis and repair: missed-factor and misread-comparison errors,Error analysis and repair,missed-factor and misread-comparison errors,guided-practice,4.OA.2;4.OA.4;MP.3
ma-g4-mathematics-u03-l09,ma-g4-mathematics,4,mathematics,45,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",9,Retrieval and fluency: facts and factor pairs,Retrieval and fluency,facts and factor pairs,retrieval,4.OA.4
ma-g4-mathematics-u03-l10,ma-g4-mathematics,4,mathematics,46,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",10,Independent evidence B: recognizing multiples and reasoning about divisibility,Independent evidence B,recognizing multiples and reasoning about divisibility,independent-evidence,4.OA.4
ma-g4-mathematics-u03-l11,ma-g4-mathematics,4,mathematics,47,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",11,Concept extension: generating a number pattern from a rule and describing a feature the rule does not state,Concept extension,generating a number pattern from a rule and describing a feature the rule does not state,instruction,4.OA.5
ma-g4-mathematics-u03-l12,ma-g4-mathematics,4,mathematics,48,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",12,"Applied problem solving: prime and composite numbers, and extending a rule-based pattern",Applied problem solving,"prime and composite numbers, and extending a rule-based pattern",independent-evidence,4.OA.4;4.OA.5
ma-g4-mathematics-u03-l13,ma-g4-mathematics,4,mathematics,49,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",13,Performance task: plan: the Number Portrait set,Performance task: plan,the Number Portrait set,project,4.OA.4;MP.4
ma-g4-mathematics-u03-l14,ma-g4-mathematics,4,mathematics,50,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",14,"Performance task: build: portraits with factor pairs, multiples, and stories",Performance task: build,"portraits with factor pairs, multiples, and stories",project,4.OA.1;4.OA.4
ma-g4-mathematics-u03-l15,ma-g4-mathematics,4,mathematics,51,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",15,"Synthesis and review: comparison, factors, and multiples",Synthesis and review,"comparison, factors, and multiples",retrieval,4.OA.1;4.OA.2;4.OA.4
ma-g4-mathematics-u03-l16,ma-g4-mathematics,4,mathematics,52,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",16,"Unit assessment: comparison, factors, and multiples",Unit assessment,"comparison, factors, and multiples",assessment,4.OA.1;4.OA.2;4.OA.4
ma-g4-mathematics-u03-l17,ma-g4-mathematics,4,mathematics,53,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",17,Targeted correction and reassessment: comparison and factoring,Targeted correction and reassessment,comparison and factoring,reassessment,4.OA.2;4.OA.4
ma-g4-mathematics-u03-l18,ma-g4-mathematics,4,mathematics,54,3,"Multiplicative Comparison, Factors, Multiples, and Patterns",18,"Transfer, reflection, and publication: describing real relationships as times as many","Transfer, reflection, and publication",describing real relationships as times as many,independent-evidence,4.OA.1;MP.4
