case_number,lesson_id,grade,phase,work_mode,scoring_stance,focus,classification,answer_authority_boundary_violation,generator_family,learner_visible_repair,authored_source,authored_source_line,generated_learner_package,generated_repair_line,correction_model,summative_pre_evidence_exposure,canonical_assessment_surface_exposes_repair
54,ma-g7-technology-u02-l01,7,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,decomposition,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-7/courses/technology/lessons.jsonl,7,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l01.task-package.json,92,trusted solution reference,,
55,ma-g7-technology-u02-l02,7,Explicit model,MODEL,FORMATIVE_NO_PENALTY,pseudocode,LEGITIMATE_WORKED_EXAMPLE,false,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-7/courses/technology/lessons.jsonl,8,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l02.task-package.json,92,worked example separation,,
56,ma-g7-technology-u02-l03,7,Guided practice,GUIDED,PROGRESS_EVIDENCE,variables and data types,FULL_SOLUTION_BEFORE_ATTEMPT,true,DATA_AGGREGATION,"The reducer uses total + record.value; the tests return 6, 0, and 0.",curriculum-content/manuel-academy/1.0.0/grades/grade-7/courses/technology/lessons.jsonl,9,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l03.task-package.json,92,hint ladder,,
57,ma-g7-technology-u02-l04,7,Application or project,BUILD,PROGRESS_EVIDENCE,conditionals,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-7/courses/technology/lessons.jsonl,10,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l04.task-package.json,92,hint ladder plus trusted solution reference,,
58,ma-g7-technology-u02-l05,7,Mastery check,DEMONSTRATE,SUMMATIVE,loops,SUMMATIVE_SOLUTION_EXPOSURE,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-7/courses/technology/lessons.jsonl,11,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l05.task-package.json,92,"trusted solution reference, then post-submission review",true,false
59,ma-g7-technology-u02-l06,7,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,functions and debugging,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-7/courses/technology/lessons.jsonl,12,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u02-l06.task-package.json,92,post-submission review,,
60,ma-g7-technology-u03-l01,7,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,HTML or block-based page structure,FULL_SOLUTION_BEFORE_ATTEMPT,true,HTML_ACCESSIBLE_LABEL,"The filter checks control.label; the three tests return 1, 0, and 0.",curriculum-content/manuel-academy/1.0.0/grades/grade-7/courses/technology/lessons.jsonl,13,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u03-l01.task-package.json,93,trusted solution reference,,
61,ma-g7-technology-u04-l02,7,Explicit model,MODEL,FORMATIVE_NO_PENALTY,spreadsheets and formulas,LEGITIMATE_WORKED_EXAMPLE,false,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-7/courses/technology/lessons.jsonl,20,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u04-l02.task-package.json,92,worked example separation,,
62,ma-g7-technology-u06-l06,7,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,iteration and documentation,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-7/courses/technology/lessons.jsonl,36,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-07/ma-g7-technology-u06-l06.task-package.json,93,post-submission review,,
63,ma-g8-technology-u01-l03,8,Guided practice,GUIDED,PROGRESS_EVIDENCE,algorithmic recommendations,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-8/courses/technology/lessons.jsonl,3,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u01-l03.task-package.json,93,hint ladder,,
64,ma-g8-technology-u02-l01,8,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,requirements and decomposition,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-8/courses/technology/lessons.jsonl,7,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u02-l01.task-package.json,92,trusted solution reference,,
65,ma-g8-technology-u02-l02,8,Explicit model,MODEL,FORMATIVE_NO_PENALTY,data and variables,LEGITIMATE_WORKED_EXAMPLE,false,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-8/courses/technology/lessons.jsonl,8,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u02-l02.task-package.json,92,worked example separation,,
66,ma-g8-technology-u02-l03,8,Guided practice,GUIDED,PROGRESS_EVIDENCE,selection and iteration,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-8/courses/technology/lessons.jsonl,9,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u02-l03.task-package.json,92,hint ladder,,
67,ma-g8-technology-u02-l04,8,Application or project,BUILD,PROGRESS_EVIDENCE,functions or procedures,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-8/courses/technology/lessons.jsonl,10,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u02-l04.task-package.json,92,hint ladder plus trusted solution reference,,
68,ma-g8-technology-u02-l05,8,Mastery check,DEMONSTRATE,SUMMATIVE,testing debugging and versioning,SUMMATIVE_SOLUTION_EXPOSURE,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-8/courses/technology/lessons.jsonl,11,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u02-l05.task-package.json,92,"trusted solution reference, then post-submission review",true,false
69,ma-g8-technology-u03-l06,8,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,iteration,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-8/courses/technology/lessons.jsonl,18,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u03-l06.task-package.json,93,post-submission review,,
70,ma-g8-technology-u04-l03,8,Guided practice,GUIDED,PROGRESS_EVIDENCE,formulas and code,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,curriculum-content/manuel-academy/1.0.0/grades/grade-8/courses/technology/lessons.jsonl,21,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-08/ma-g8-technology-u04-l03.task-package.json,92,hint ladder,,
71,ma-g9-technology-u01-l02,9,Explicit model,MODEL,FORMATIVE_NO_PENALTY,decomposition into subproblems,LEGITIMATE_WORKED_EXAMPLE,false,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,2,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u01-l02.task-package.json,92,worked example separation,,
72,ma-g9-technology-u01-l03,9,Guided practice,GUIDED,PROGRESS_EVIDENCE,abstraction and pattern recognition and algorithm design and pseudocode,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,3,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u01-l03.task-package.json,92,hint ladder,,
73,ma-g9-technology-u01-l04,9,Application or project,BUILD,PROGRESS_EVIDENCE,trace tables and hand execution and comparing candidate algorithms,FULL_SOLUTION_BEFORE_ATTEMPT,true,STALE_STATE_UPDATE,"Each assignment uses current + delta; the tests return 4, 5, and 5.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,4,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u01-l04.task-package.json,92,hint ladder plus trusted solution reference,,
74,ma-g9-technology-u01-l05,9,Mastery check,DEMONSTRATE,SUMMATIVE,computational thinking and problem decomposition,SUMMATIVE_SOLUTION_EXPOSURE,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,5,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u01-l05.task-package.json,92,"trusted solution reference, then post-submission review",true,false
75,ma-g9-technology-u01-l06,9,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,computational thinking and problem decomposition,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,6,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u01-l06.task-package.json,92,post-submission review,,
76,ma-g9-technology-u02-l01,9,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,data types and type conversion,FULL_SOLUTION_BEFORE_ATTEMPT,true,DATA_AGGREGATION,"The reducer uses total + record.value; the tests return 6, 0, and 0.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,7,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u02-l01.task-package.json,92,trusted solution reference,,
77,ma-g9-technology-u02-l02,9,Explicit model,MODEL,FORMATIVE_NO_PENALTY,expressions operators and precedence,LEGITIMATE_WORKED_EXAMPLE,false,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,8,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u02-l02.task-package.json,92,worked example separation,,
78,ma-g9-technology-u02-l03,9,Guided practice,GUIDED,PROGRESS_EVIDENCE,selection and compound boolean logic and iteration nested loops and loop conditions,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,9,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u02-l03.task-package.json,92,hint ladder,,
79,ma-g9-technology-u02-l04,9,Application or project,BUILD,PROGRESS_EVIDENCE,functions parameters return values and composition and scope program structure and modularity,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,10,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u02-l04.task-package.json,92,hint ladder plus trusted solution reference,,
80,ma-g9-technology-u02-l05,9,Mastery check,DEMONSTRATE,SUMMATIVE,"programming foundations: data, control, and functions",SUMMATIVE_SOLUTION_EXPOSURE,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,11,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u02-l05.task-package.json,92,"trusted solution reference, then post-submission review",true,false
81,ma-g9-technology-u02-l06,9,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,"programming foundations: data, control, and functions",FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,12,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u02-l06.task-package.json,92,post-submission review,,
82,ma-g9-technology-u03-l01,9,Launch and diagnostic,PROBE,FORMATIVE_NO_PENALTY,defect classes and error messages,FULL_SOLUTION_BEFORE_ATTEMPT,true,OBJECT_STATE_UPDATE,"The update combines this.value with amount; the three tests return 5, 0, and 3.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,13,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u03-l01.task-package.json,92,trusted solution reference,,
83,ma-g9-technology-u03-l02,9,Explicit model,MODEL,FORMATIVE_NO_PENALTY,reading traces and diagnostic output,LEGITIMATE_WORKED_EXAMPLE,false,STALE_STATE_UPDATE,"Each assignment uses current + delta; the tests return 4, 5, and 5.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,14,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u03-l02.task-package.json,92,worked example separation,,
84,ma-g9-technology-u03-l03,9,Guided practice,GUIDED,PROGRESS_EVIDENCE,systematic debugging strategy and version control commits and history,FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,15,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u03-l03.task-package.json,92,hint ladder,,
85,ma-g9-technology-u03-l05,9,Mastery check,DEMONSTRATE,SUMMATIVE,"debugging, testing, and version control",SUMMATIVE_SOLUTION_EXPOSURE,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,17,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u03-l05.task-package.json,92,"trusted solution reference, then post-submission review",true,false
86,ma-g9-technology-u03-l06,9,Correction and reflection,CORRECT,PROGRESS_EVIDENCE,"debugging, testing, and version control",FULL_SOLUTION_BEFORE_ATTEMPT,true,GENERIC_SEQUENCE_INDEX,Iteration begins at index 0; all three tests retain every step in order.,../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,18,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u03-l06.task-package.json,92,post-submission review,,
87,ma-g9-technology-u04-l03,9,Guided practice,GUIDED,PROGRESS_EVIDENCE,processor memory and storage and operating systems and processes,FULL_SOLUTION_BEFORE_ATTEMPT,true,STALE_STATE_UPDATE,"Each assignment uses current + delta; the tests return 4, 5, and 5.",../mac-hs912-tech-arts-r1/curriculum-authoring/full-family-highschool-9-12/subjects/technology-computer-science/grade-09/lessons.jsonl,21,curriculum-production/student-work/technology-arts-lessons/packages/technology/grade-09/ma-g9-technology-u04-l03.task-package.json,92,hint ladder,,
